lon,lat
12.37453,51.36340
22.29981,53.28670
21.17575,52.24412
9.91428,59.06758
9.91428,59.06758
22.28972,49.21938
18.47443,54.53460
6.65447,58.41363
19.39115,49.87153
98.45195,29.55800
18.41078,54.79706
-121.50915,36.00572
9.97750,51.52470
7.20812,51.86772
10.65248,53.91077
25.78313,71.15568
9.50553,52.41397
21.50092,54.08137
9.25013,48.94352
12.27743,51.24882
19.45340,51.78315
22.26197,49.22603
13.28650,52.42925
14.73115,48.11640
16.94583,43.35960
17.34597,49.50718
11.46640,50.97488
20.69625,52.43587
9.98113,51.54808
10.73992,35.75910
7.12468,50.83307
21.13360,52.06173
13.03552,47.79545
14.21707,50.36180
55.22165,25.17980
12.47753,54.43932
21.27212,52.14403
21.27212,52.14403
20.00000,50.00000
3.27255,50.84727
21.28818,52.29973
8.05735,50.72705
20.97303,52.23447
24.99403,60.20342
10.81813,54.93065
18.53548,54.50775
22.50382,49.59430
22.62350,49.42945
16.56793,53.52138
13.11100,52.33393
15.06613,52.69445
6.37880,51.26375
5.92573,51.00558
2.41905,49.20427
19.95927,50.06620
19.54167,50.82387
16.95633,52.43690
18.50240,54.53527
21.00750,52.25750
8.80630,51.79177
7.19727,51.59075
16.53790,48.17310
20.08642,49.26535
21.38402,53.89517
13.36335,49.72155
20.90458,52.05730
20.94150,51.97558
23.15683,58.56325
9.86135,51.44690
